team1,team2,toss_winner,toss_decision,winner,player_of_match,venue,city,team1_players,team2_players,season,match_number,match_type,result,result_margin,target_runs,target_overs,super_over
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,AA Jhunjhunwala,"Sardar Patel Stadium, Motera",Ahmedabad,"MJ Lumb, NV Ojha, FY Fazal, AA Jhunjhunwala, YK Pathan, AC Voges, P Dogra, SK Warne, MM Patel, SK Trivedi, SW Tait","MK Tiwary, BJ Hodge, CA Pujara, SC Ganguly, OA Shah, AD Mathews, WP Saha, M Kartik, AB Dinda, SE Bond, I Sharma",3,14,League,wickets,7.0,152.0,20.0,N
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Mumbai Indians,SR Tendulkar,Brabourne Stadium,Mumbai,"S Dhawan, SR Tendulkar, SS Tiwary, KA Pollard, R Sathish, AP Tare, DJ Bravo, R McLaren, Harbhajan Singh, Z Khan, SL Malinga","CH Gayle, SC Ganguly, OA Shah, AD Mathews, CA Pujara, Mandeep Singh, WP Saha, M Kartik, Harpreet Singh, SE Bond, I Sharma",3,17,League,wickets,7.0,156.0,20.0,N
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,RV Uthappa,M Chinnaswamy Stadium,Bangalore,"MK Pandey, JH Kallis, R Dravid, RV Uthappa, V Kohli, EJG Morgan, MV Boucher, P Kumar, A Kumble, DW Steyn, R Vinay Kumar","PA Patel, ML Hayden, GJ Bailey, SK Raina, M Vijay, S Badrinath, JA Morkel, R Ashwin, L Balaji, M Muralitharan, S Tyagi",3,18,League,runs,36.0,172.0,20.0,N
Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,field,Rajasthan Royals,AC Voges,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"RS Bopara, KC Sangakkara, MS Bisla, Yuvraj Singh, DPMD Jayawardene, IK Pathan, M Kaif, PP Chawla, J Theron, S Sreesanth, SJ Srivastava","MJ Lumb, NV Ojha, FY Fazal, YK Pathan, AC Voges, P Dogra, AA Jhunjhunwala, SK Warne, MM Patel, SK Trivedi, SW Tait",3,19,League,runs,31.0,184.0,20.0,N
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,SR Tendulkar,"Brabourne Stadium, Mumbai",Mumbai,"PA Patel, ML Hayden, SK Raina, S Badrinath, MS Dhoni, JA Morkel, NLTC Perera, Joginder Sharma, L Balaji, M Muralitharan, SB Jakati","S Dhawan, SR Tendulkar, SS Tiwary, R Sathish, KA Pollard, DJ Bravo, R McLaren, AP Tare, Harbhajan Singh, Z Khan, SL Malinga",3,20,League,wickets,5.0,181.0,20.0,N
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,MK Tiwary,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"RS Bopara, Yuvraj Singh, MS Bisla, KC Sangakkara, DPMD Jayawardene, IK Pathan, K Goel, B Lee, PP Chawla, SJ Srivastava, VS Malik","CH Gayle, SC Ganguly, Mandeep Singh, MK Tiwary, DJ Hussey, AD Mathews, WP Saha, SE Bond, AB Agarkar, AB Dinda, Iqbal Abdulla",3,23,League,runs,39.0,184.0,20.0,N
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,NV Ojha,"Sardar Patel Stadium, Motera",Ahmedabad,"MJ Lumb, NV Ojha, FY Fazal, YK Pathan, AC Voges, AA Jhunjhunwala, P Dogra, S Narwal, SK Warne, SW Tait, SK Trivedi","M Vijay, ML Hayden, SK Raina, MS Dhoni, S Badrinath, JA Morkel, KB Arun Karthik, T Thushara, Joginder Sharma, M Muralitharan, SB Jakati",3,24,League,runs,17.0,178.0,20.0,N
Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Mumbai Indians,SL Malinga,Brabourne Stadium,Mumbai,"S Dhawan, SR Tendulkar, KA Pollard, SS Tiwary, AT Rayudu, DJ Bravo, R Sathish, Harbhajan Singh, R McLaren, Z Khan, SL Malinga","RS Bopara, SE Marsh, MS Bisla, DPMD Jayawardene, Yuvraj Singh, IK Pathan, B Lee, K Goel, PP Chawla, VS Malik, SJ Srivastava",3,27,League,wickets,4.0,164.0,20.0,N
Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Chennai Super Kings,M Vijay,"MA Chidambaram Stadium, Chepauk",Chennai,"M Vijay, ML Hayden, SK Raina, MS Dhoni, JA Morkel, S Badrinath, C Ganapathy, MS Gony, M Muralitharan, T Thushara, SB Jakati","MK Pandey, JH Kallis, RV Uthappa, V Kohli, KP Pietersen, CL White, R Dravid, P Kumar, A Kumble, DW Steyn, R Vinay Kumar",3,29,League,runs,67.0,189.0,20.0,N
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore,KP Pietersen,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"SE Marsh, MS Bisla, KC Sangakkara, RS Bopara, Yuvraj Singh, IK Pathan, B Lee, PP Chawla, SJ Srivastava, Bipul Sharma, S Sreesanth","MK Pandey, JH Kallis, KP Pietersen, V Kohli, RV Uthappa, CL White, R Dravid, P Kumar, A Kumble, R Vinay Kumar, DW Steyn",3,31,League,wickets,6.0,182.0,20.0,N
