team1,team2,toss_winner,toss_decision,winner,player_of_match,venue,city,team1_players,team2_players,season,match_number,match_type,result,result_margin,target_runs,target_overs,super_over
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,Kolkata Knight Riders,MS Bisla,"MA Chidambaram Stadium, Chepauk",Chennai,"MS Bisla, G Gambhir, JH Kallis, LR Shukla, YK Pathan, Shakib Al Hasan, MK Tiwary, R Bhatia, Iqbal Abdulla, SP Narine, B Lee","MEK Hussey, M Vijay, SK Raina, MS Dhoni, DJ Bravo, RA Jadeja, JA Morkel, R Ashwin, BW Hilfenhaus, SB Jakati, S Badrinath",5,74,Final,wickets,5.0,191.0,20.0,N
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,CH Gayle,M Chinnaswamy Stadium,Bangalore,"CH Gayle, TM Dilshan, V Kohli, MA Agarwal, DT Christian, KK Nair, KB Arun Karthik, R Vinay Kumar, M Kartik, JD Unadkat, M Muralitharan","RT Ponting, SR Tendulkar, KD Karthik, RG Sharma, AT Rayudu, KA Pollard, Harbhajan Singh, JJ Bumrah, MG Johnson, JDP Oram, MM Patel",6,2,League,runs,2.0,157.0,20.0,N
Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,KA Pollard,"MA Chidambaram Stadium, Chepauk",Chennai,"MEK Hussey, M Vijay, SK Raina, DJ Bravo, S Badrinath, MS Dhoni, RA Jadeja, R Ashwin, B Laughlin, AS Rajpoot, DP Nannes","RT Ponting, SR Tendulkar, KD Karthik, RG Sharma, AT Rayudu, KA Pollard, DR Smith, Harbhajan Singh, MG Johnson, MM Patel, PP Ojha",6,4,League,runs,5.0,166.0,20.0,N
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,SK Trivedi,Sawai Mansingh Stadium,Jaipur,"SR Watson, AM Rahane, R Dravid, STR Binny, BJ Hodge, KK Cooper, DH Yagnik, S Sreesanth, SK Trivedi, SW Tait, R Shukla","MS Bisla, G Gambhir, JH Kallis, MK Tiwary, EJG Morgan, YK Pathan, LR Shukla, R Bhatia, B Lee, Mohammed Shami, SP Narine",6,8,League,runs,19.0,145.0,20.0,N
Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,V Kohli,M Chinnaswamy Stadium,Bangalore,"MA Agarwal, CH Gayle, V Kohli, AB de Villiers, MC Henriques, KB Arun Karthik, R Vinay Kumar, M Kartik, JD Unadkat, RP Singh, M Muralitharan","PA Reddy, PA Patel, KC Sangakkara, CL White, NLTC Perera, A Ashish Reddy, GH Vihari, BB Samantray, A Mishra, DW Steyn, I Sharma",6,10,League,wickets,7.0,162.0,20.0,N
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"Mandeep Singh, AC Gilchrist, M Vohra, DJ Hussey, Gurkeerat Singh, Azhar Mahmood, R Sathish, PP Chawla, RJ Harris, P Kumar, P Awana","M Vijay, MEK Hussey, SK Raina, S Badrinath, MS Dhoni, RA Jadeja, DJ Bravo, R Ashwin, DP Nannes, CH Morris, AS Rajpoot",6,11,League,wickets,10.0,139.0,20.0,N
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Royal Challengers Bangalore,CH Gayle,M Chinnaswamy Stadium,Bangalore,"CH Gayle, MA Agarwal, V Kohli, AB de Villiers, MC Henriques, KB Arun Karthik, KL Rahul, R Vinay Kumar, RP Singh, JD Unadkat, M Muralitharan","MS Bisla, G Gambhir, JH Kallis, YK Pathan, MK Tiwary, EJG Morgan, R Bhatia, R McLaren, PJ Sangwan, SP Narine, L Balaji",6,12,League,wickets,8.0,155.0,20.0,N
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,Chennai Super Kings,RA Jadeja,"MA Chidambaram Stadium, Chepauk",Chennai,"MEK Hussey, M Vijay, SK Raina, S Badrinath, MS Dhoni, RA Jadeja, DJ Bravo, CH Morris, R Ashwin, DP Nannes, MM Sharma","CH Gayle, MA Agarwal, V Kohli, AB de Villiers, DT Christian, R Rampaul, KB Arun Karthik, J Syed Mohammad, R Vinay Kumar, M Kartik, RP Singh",6,15,League,runs,41.0,184.0,20.0,N
Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,field,Rajasthan Royals,JP Faulkner,Sawai Mansingh Stadium,Jaipur,"SR Watson, AM Rahane, R Dravid, STR Binny, BJ Hodge, SV Samson, JP Faulkner, KK Cooper, SK Trivedi, A Chandila, S Sreesanth","Mandeep Singh, AC Gilchrist, M Vohra, DJ Hussey, Gurkeerat Singh, R Sathish, Azhar Mahmood, PP Chawla, RJ Harris, P Kumar, P Awana",6,17,League,runs,48.0,181.0,20.0,N
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,G Gambhir,Eden Gardens,Kolkata,"MS Bisla, G Gambhir, JH Kallis, EJG Morgan, YK Pathan, MK Tiwary, R Bhatia, LR Shukla, SMSM Senanayake, SP Narine, L Balaji","PA Patel, CL White, KC Sangakkara, DB Ravi Teja, NLTC Perera, A Ashish Reddy, KV Sharma, GH Vihari, A Mishra, DW Steyn, I Sharma",6,18,League,wickets,6.0,125.0,20.0,N
Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,MS Gony,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"AC Gilchrist, Mandeep Singh, M Vohra, DJ Hussey, DA Miller, Azhar Mahmood, Gurkeerat Singh, MS Gony, PP Chawla, P Kumar, P Awana","MS Bisla, G Gambhir, JH Kallis, EJG Morgan, MK Tiwary, YK Pathan, DB Das, R Bhatia, SMSM Senanayake, SP Narine, L Balaji",6,20,League,runs,4.0,158.0,20.0,N
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,AM Rahane,Sawai Mansingh Stadium,Jaipur,"SR Watson, AM Rahane, DH Yagnik, STR Binny, BJ Hodge, R Dravid, JP Faulkner, KK Cooper, AA Chavan, A Chandila, SK Trivedi","SR Tendulkar, RT Ponting, KD Karthik, RG Sharma, KA Pollard, AT Rayudu, R Dhawan, Harbhajan Singh, MG Johnson, SL Malinga, PP Ojha",6,22,League,runs,11.0,120.0,20.0,N
Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,bat,Sunrisers Hyderabad,GH Vihari,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"Q de Kock, PA Reddy, GH Vihari, CL White, BB Samantray, NLTC Perera, A Ashish Reddy, KV Sharma, A Mishra, DW Steyn, I Sharma","Mandeep Singh, AC Gilchrist, PC Valthaty, DJ Hussey, PP Chawla, Gurkeerat Singh, Azhar Mahmood, MS Gony, M Vohra, AD Mascarenhas, P Kumar",6,25,League,wickets,5.0,124.0,20.0,N
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,RA Jadeja,Eden Gardens,Kolkata,"G Gambhir, YK Pathan, JH Kallis, EJG Morgan, MK Tiwary, DB Das, R Bhatia, LR Shukla, SMSM Senanayake, SP Narine, L Balaji","MEK Hussey, R Ashwin, M Vijay, SK Raina, MS Dhoni, S Badrinath, RA Jadeja, DJ Bravo, JA Morkel, CH Morris, MM Sharma",6,26,League,wickets,4.0,120.0,20.0,N
Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,Royal Challengers Bangalore,R Vinay Kumar,M Chinnaswamy Stadium,Bangalore,"TM Dilshan, CH Gayle, V Kohli, AB de Villiers, SS Tiwary, KB Arun Karthik, R Rampaul, R Vinay Kumar, M Kartik, RP Singh, JD Unadkat","SR Watson, AM Rahane, R Dravid, STR Binny, BJ Hodge, DH Yagnik, JP Faulkner, A Chandila, S Sreesanth, SW Tait, SK Trivedi",6,27,League,wickets,7.0,118.0,20.0,N
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,Chennai Super Kings,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Chennai,"M Vijay, MEK Hussey, SK Raina, MS Dhoni, RA Jadeja, DJ Bravo, CH Morris, S Badrinath, R Ashwin, JO Holder, MM Sharma","SR Watson, AM Rahane, DH Yagnik, R Dravid, STR Binny, BJ Hodge, JP Faulkner, KK Cooper, R Shukla, A Chandila, SK Trivedi",6,30,League,wickets,5.0,186.0,20.0,N
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,DR Smith,Eden Gardens,Kolkata,"YK Pathan, G Gambhir, JH Kallis, MK Tiwary, EJG Morgan, DB Das, R Bhatia, Iqbal Abdulla, SMSM Senanayake, SP Narine, L Balaji","DR Smith, SR Tendulkar, KD Karthik, RG Sharma, KA Pollard, AT Rayudu, Harbhajan Singh, MG Johnson, YS Chahal, PP Ojha, SL Malinga",6,33,League,wickets,5.0,160.0,20.0,N
Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Chennai Super Kings,MS Dhoni,"MA Chidambaram Stadium, Chepauk",Chennai,"MEK Hussey, M Vijay, SK Raina, MS Dhoni, DJ Bravo, RA Jadeja, CH Morris, S Badrinath, R Ashwin, JO Holder, MM Sharma","Q de Kock, S Dhawan, GH Vihari, CL White, A Mishra, X Thalaivan Sargunam, DJG Sammy, A Ashish Reddy, KV Sharma, DW Steyn, I Sharma",6,34,League,wickets,5.0,160.0,20.0,N
Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,bat,Kolkata Knight Riders,JH Kallis,Eden Gardens,Kolkata,"MS Bisla, G Gambhir, YK Pathan, JH Kallis, EJG Morgan, SMSM Senanayake, DB Das, R Bhatia, SP Narine, S Ladda, L Balaji","AC Gilchrist, Mandeep Singh, M Vohra, DJ Hussey, DA Miller, Gurkeerat Singh, Azhar Mahmood, PP Chawla, P Kumar, Harmeet Singh, BA Bhatt",6,35,League,wickets,6.0,150.0,20.0,N
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Rajasthan Royals,JP Faulkner,Sawai Mansingh Stadium,Jaipur,"R Dravid, AM Rahane, SR Watson, STR Binny, BJ Hodge, DH Yagnik, Sachin Baby, JP Faulkner, KK Cooper, A Chandila, SK Trivedi","PA Reddy, S Dhawan, KC Sangakkara, GH Vihari, KV Sharma, NLTC Perera, DJG Sammy, A Mishra, A Ashish Reddy, DW Steyn, I Sharma",6,36,League,wickets,8.0,145.0,20.0,N
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,DR Smith,Wankhede Stadium,Mumbai,"DR Smith, SR Tendulkar, KD Karthik, RG Sharma, KA Pollard, AT Rayudu, Harbhajan Singh, MG Johnson, SL Malinga, DS Kulkarni, PP Ojha","CH Gayle, TM Dilshan, V Kohli, AB de Villiers, SS Tiwary, KB Arun Karthik, J Syed Mohammad, R Rampaul, R Vinay Kumar, RP Singh, JD Unadkat",6,37,League,runs,58.0,195.0,20.0,N
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Chennai,"WP Saha, MEK Hussey, SK Raina, MS Dhoni, RA Jadeja, S Badrinath, DJ Bravo, CH Morris, R Ashwin, DP Nannes, MM Sharma","MS Bisla, G Gambhir, BB McCullum, JH Kallis, EJG Morgan, YK Pathan, DB Das, R Bhatia, SP Narine, Mohammed Shami, L Balaji",6,38,League,runs,14.0,201.0,20.0,N
Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Mumbai Indians,RG Sharma,Wankhede Stadium,Mumbai,"DR Smith, SR Tendulkar, KD Karthik, RG Sharma, KA Pollard, AT Rayudu, Harbhajan Singh, MG Johnson, SL Malinga, DS Kulkarni, PP Ojha","Mandeep Singh, SE Marsh, M Vohra, DJ Hussey, DA Miller, Gurkeerat Singh, Azhar Mahmood, MS Gony, PP Chawla, P Kumar, P Awana",6,40,League,wickets,4.0,172.0,20.0,N
Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,Rajasthan Royals,SV Samson,Sawai Mansingh Stadium,Jaipur,"R Dravid, AM Rahane, SV Samson, SR Watson, BJ Hodge, STR Binny, OA Shah, JP Faulkner, A Chandila, SK Trivedi, S Sreesanth","A Mukund, CH Gayle, V Kohli, AB de Villiers, MC Henriques, SS Tiwary, R Rampaul, R Vinay Kumar, M Kartik, RP Singh, JD Unadkat",6,41,League,runs,4.0,175.0,20.0,N
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,Sunrisers Hyderabad,I Sharma,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"PA Reddy, S Dhawan, KC Sangakkara, GH Vihari, DJG Sammy, NLTC Perera, A Ashish Reddy, KV Sharma, A Mishra, DW Steyn, I Sharma","DR Smith, SR Tendulkar, KD Karthik, RG Sharma, KA Pollard, AT Rayudu, Harbhajan Singh, MG Johnson, SL Malinga, DS Kulkarni, PP Ojha",6,44,League,wickets,7.0,137.0,20.0,N
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,SK Raina,"MA Chidambaram Stadium, Chepauk",Chennai,"WP Saha, MEK Hussey, SK Raina, MS Dhoni, JA Morkel, RA Jadeja, S Badrinath, DJ Bravo, CH Morris, R Ashwin, MM Sharma","LA Pomersbach, Mandeep Singh, SE Marsh, DJ Hussey, DA Miller, Gurkeerat Singh, R Sathish, MS Gony, PP Chawla, P Kumar, P Awana",6,46,League,runs,17.0,188.0,20.0,N
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Kolkata Knight Riders,YK Pathan,Eden Gardens,Kolkata,"G Gambhir, MS Bisla, JH Kallis, YK Pathan, EJG Morgan, DB Das, R Bhatia, S Narwal, SMSM Senanayake, Iqbal Abdulla, SP Narine","SR Watson, AM Rahane, JP Faulkner, SV Samson, DH Yagnik, OA Shah, STR Binny, R Dravid, AA Chavan, GB Hogg, SK Trivedi",6,47,League,wickets,8.0,133.0,20.0,N
Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,MG Johnson,Wankhede Stadium,Mumbai,"DR Smith, SR Tendulkar, KD Karthik, KA Pollard, RG Sharma, AT Rayudu, Harbhajan Singh, MG Johnson, SL Malinga, PP Ojha, P Suyal","MEK Hussey, M Vijay, SK Raina, S Badrinath, DJ Bravo, R Ashwin, MS Dhoni, RA Jadeja, CH Morris, MM Sharma, B Laughlin",6,50,League,wickets,5.0,179.0,20.0,N
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,field,Kings XI Punjab,DA Miller,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"Mandeep Singh, SE Marsh, Gurkeerat Singh, DJ Hussey, DA Miller, R Sathish, MG Neser, PP Chawla, P Kumar, MS Gony, P Awana","CA Pujara, CH Gayle, V Kohli, AB de Villiers, MC Henriques, SS Tiwary, KB Arun Karthik, R Vinay Kumar, R Rampaul, M Kartik, RP Singh",6,51,League,wickets,6.0,191.0,20.0,N
Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,SR Tendulkar,Wankhede Stadium,Mumbai,"DR Smith, SR Tendulkar, KD Karthik, RG Sharma, KA Pollard, AT Rayudu, Harbhajan Singh, MG Johnson, SL Malinga, PP Ojha, AN Ahmed","MS Bisla, G Gambhir, JH Kallis, YK Pathan, EJG Morgan, DB Das, R McLaren, R Bhatia, Iqbal Abdulla, SP Narine, L Balaji",6,53,League,runs,65.0,171.0,20.0,N
Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,Chennai Super Kings,SK Raina,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"PA Patel, S Dhawan, KC Sangakkara, GH Vihari, DJG Sammy, NLTC Perera, KV Sharma, A Mishra, DW Steyn, I Sharma, A Ashish Reddy","MEK Hussey, M Vijay, SK Raina, MS Dhoni, RA Jadeja, S Badrinath, DJ Bravo, CH Morris, R Ashwin, JO Holder, MM Sharma",6,54,League,runs,77.0,224.0,20.0,N
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,KK Cooper,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"Mandeep Singh, AC Gilchrist, SE Marsh, DJ Hussey, DA Miller, MS Gony, R Sathish, PP Chawla, Bipul Sharma, P Kumar, P Awana","R Dravid, AM Rahane, SR Watson, SV Samson, BJ Hodge, DH Yagnik, KK Cooper, JP Faulkner, A Chandila, S Sreesanth, SK Trivedi",6,56,League,runs,46.0,153.0,20.0,N
Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,Sunrisers Hyderabad,PA Patel,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"AC Gilchrist, Mandeep Singh, SE Marsh, LA Pomersbach, DA Miller, R Sathish, PP Chawla, P Kumar, Harmeet Singh, P Awana, Sandeep Sharma","PA Patel, S Dhawan, GH Vihari, CL White, BB Samantray, DJG Sammy, KV Sharma, NLTC Perera, DW Steyn, A Mishra, I Sharma",6,59,League,runs,30.0,151.0,20.0,N
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Rajasthan Royals,SR Watson,Sawai Mansingh Stadium,Jaipur,"R Dravid, AM Rahane, JP Faulkner, SV Samson, SR Watson, STR Binny, BJ Hodge, DH Yagnik, SK Trivedi, KK Cooper, VS Malik","MEK Hussey, M Vijay, SK Raina, MS Dhoni, RA Jadeja, DJ Bravo, S Badrinath, CH Morris, R Ashwin, JO Holder, MM Sharma",6,60,League,wickets,5.0,116.0,20.0,N
Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,Kolkata Knight Riders,JH Kallis,JSCA International Stadium Complex,Ranchi,"MS Bisla, G Gambhir, JH Kallis, YK Pathan, MK Tiwary, RN ten Doeschate, R Bhatia, DB Das, SMSM Senanayake, SP Narine, L Balaji","CA Pujara, CH Gayle, V Kohli, AB de Villiers, MC Henriques, SS Tiwary, R Vinay Kumar, R Rampaul, A Mithun, M Kartik, JD Unadkat",6,61,League,wickets,5.0,142.0,20.0,N
Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Mumbai Indians,KA Pollard,Wankhede Stadium,Mumbai,"DR Smith, SR Tendulkar, KD Karthik, RG Sharma, AT Rayudu, KA Pollard, Harbhajan Singh, MG Johnson, DS Kulkarni, SL Malinga, PP Ojha","PA Patel, S Dhawan, GH Vihari, CL White, NLTC Perera, DJG Sammy, BB Samantray, KV Sharma, A Mishra, DW Steyn, I Sharma",6,62,League,wickets,7.0,179.0,20.0,N
Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,AC Gilchrist,M Chinnaswamy Stadium,Bangalore,"CA Pujara, CH Gayle, V Kohli, AB de Villiers, MC Henriques, KL Rahul, KB Arun Karthik, R Vinay Kumar, Z Khan, M Muralitharan, JD Unadkat","AC Gilchrist, SE Marsh, Azhar Mahmood, DA Miller, R Sathish, Mandeep Singh, M Vohra, PP Chawla, MS Gony, P Awana, Sandeep Sharma",6,64,League,runs,33.0,169.0,20.0,N
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,AP Tare,Wankhede Stadium,Mumbai,"GJ Maxwell, AP Tare, KD Karthik, RG Sharma, KA Pollard, AT Rayudu, Harbhajan Singh, MG Johnson, SL Malinga, DS Kulkarni, PP Ojha","R Dravid, AM Rahane, JP Faulkner, SV Samson, SR Watson, STR Binny, DH Yagnik, BJ Hodge, KK Cooper, AA Chavan, PV Tambe",6,65,League,runs,7.0,171.0,20.0,N
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,A Mishra,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"PA Patel, S Dhawan, GH Vihari, CL White, BB Samantray, DJG Sammy, NLTC Perera, DW Steyn, KV Sharma, A Mishra, I Sharma","R Dravid, AM Rahane, SR Watson, SV Samson, STR Binny, BJ Hodge, Sachin Baby, JP Faulkner, KK Cooper, PV Tambe, SK Trivedi",6,68,League,runs,23.0,137.0,20.0,N
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,V Kohli,M Chinnaswamy Stadium,Bangalore,"V Kohli, CH Gayle, AB de Villiers, MC Henriques, RP Singh, KL Rahul, SS Tiwary, R Vinay Kumar, Z Khan, R Rampaul, JD Unadkat","MEK Hussey, M Vijay, SK Raina, DJ Bravo, MS Dhoni, RA Jadeja, S Badrinath, CH Morris, R Ashwin, JO Holder, MM Sharma",6,69,League,runs,50.0,184.0,20.0,N
Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,Azhar Mahmood,Himachal Pradesh Cricket Association Stadium,Dharamsala,"AC Gilchrist, Mandeep Singh, Azhar Mahmood, SE Marsh, DA Miller, M Vohra, Gurkeerat Singh, PP Chawla, P Kumar, P Awana, Sandeep Sharma","GJ Maxwell, AP Tare, AT Rayudu, RG Sharma, KD Karthik, KA Pollard, R Dhawan, Harbhajan Singh, NM Coulter-Nile, SL Malinga, DS Kulkarni",6,70,League,runs,24.0,107.0,8.0,N
Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,Sunrisers Hyderabad,PA Patel,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,"PA Patel, S Dhawan, GH Vihari, CL White, NLTC Perera, DJG Sammy, BB Samantray, KV Sharma, A Mishra, DW Steyn, Anand Rajan","MS Bisla, G Gambhir, JH Kallis, EJG Morgan, YK Pathan, RN ten Doeschate, P Dogra, SP Narine, Iqbal Abdulla, PJ Sangwan, Mohammed Shami",6,71,League,runs,38.0,173.0,20.0,N
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,MEK Hussey,Feroz Shah Kotla,Delhi,"MEK Hussey, M Vijay, SK Raina, MS Dhoni, RA Jadeja, S Badrinath, DJ Bravo, JA Morkel, CH Morris, R Ashwin, MM Sharma","DR Smith, AP Tare, KD Karthik, RG Sharma, KA Pollard, AT Rayudu, Harbhajan Singh, MG Johnson, SL Malinga, PP Ojha, MM Patel",6,73,Qualifier 1,runs,48.0,193.0,20.0,N
Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Rajasthan Royals,BJ Hodge,Feroz Shah Kotla,Delhi,"R Dravid, AM Rahane, SR Watson, DH Yagnik, STR Binny, SV Samson, BJ Hodge, JP Faulkner, KK Cooper, VS Malik, SK Trivedi","PA Patel, S Dhawan, GH Vihari, CL White, DJG Sammy, NLTC Perera, BB Samantray, KV Sharma, DW Steyn, A Mishra, I Sharma",6,74,Eliminator,wickets,4.0,133.0,20.0,N
Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Mumbai Indians,Harbhajan Singh,Eden Gardens,Kolkata,"DR Smith, AP Tare, KD Karthik, RG Sharma, KA Pollard, AT Rayudu, Harbhajan Singh, R Dhawan, MG Johnson, SL Malinga, PP Ojha","R Dravid, AM Rahane, SR Watson, SV Samson, STR Binny, BJ Hodge, KK Cooper, DH Yagnik, JP Faulkner, VS Malik, SK Trivedi",6,75,Qualifier 2,wickets,4.0,166.0,20.0,N
Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,KA Pollard,Eden Gardens,Kolkata,"MEK Hussey, M Vijay, SK Raina, S Badrinath, DJ Bravo, RA Jadeja, MS Dhoni, JA Morkel, CH Morris, R Ashwin, MM Sharma","DR Smith, AP Tare, KD Karthik, RG Sharma, AT Rayudu, KA Pollard, Harbhajan Singh, R Dhawan, MG Johnson, SL Malinga, PP Ojha",6,76,Final,runs,23.0,149.0,20.0,N
Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,JH Kallis,Sheikh Zayed Stadium,Abu Dhabi,"MEK Hussey, AP Tare, AT Rayudu, RG Sharma, KA Pollard, CJ Anderson, Harbhajan Singh, CM Gautam, SL Malinga, Z Khan, PP Ojha","G Gambhir, JH Kallis, MK Pandey, RV Uthappa, YK Pathan, Shakib Al Hasan, SA Yadav, PP Chawla, R Vinay Kumar, SP Narine, M Morkel",7,1,League,runs,41.0,164.0,20.0,N
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,AM Rahane,Sheikh Zayed Stadium,Abu Dhabi,"AJ Finch, S Dhawan, DA Warner, KL Rahul, DJG Sammy, Y Venugopal Rao, KV Sharma, DW Steyn, A Mishra, B Kumar, I Sharma","AM Nayar, AM Rahane, SV Samson, SR Watson, STR Binny, BJ Hodge, R Bhatia, JP Faulkner, KW Richardson, DS Kulkarni, PV Tambe",7,3,League,wickets,6.0,206.0,20.0,N
Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Kings XI Punjab,GJ Maxwell,Sheikh Zayed Stadium,Abu Dhabi,"DR Smith, BB McCullum, SK Raina, MS Dhoni, DJ Bravo, F du Plessis, RA Jadeja, R Ashwin, P Negi, A Nehra, MM Sharma","CA Pujara, V Sehwag, GJ Maxwell, AR Patel, DA Miller, GJ Bailey, WP Saha, MG Johnson, R Dhawan, P Awana, L Balaji",7,4,League,wickets,4.0,134.0,20.0,N
Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,Royal Challengers Bangalore,PA Patel,Dubai International Cricket Stadium,,"NJ Maddinson, PA Patel, V Kohli, Yuvraj Singh, AB de Villiers, JA Morkel, S Rana, AB Dinda, MA Starc, YS Chahal, VR Aaron","MEK Hussey, AP Tare, AT Rayudu, RG Sharma, KA Pollard, CJ Anderson, Harbhajan Singh, Z Khan, SL Malinga, PP Ojha, JJ Bumrah",7,6,League,wickets,4.0,167.0,20.0,N
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,GJ Maxwell,Sharjah Cricket Stadium,,"AM Nayar, AM Rahane, SV Samson, SR Watson, STR Binny, SPD Smith, JP Faulkner, R Bhatia, KW Richardson, DS Kulkarni, PV Tambe","CA Pujara, V Sehwag, WP Saha, GJ Maxwell, DA Miller, GJ Bailey, MG Johnson, M Kartik, AR Patel, P Awana, L Balaji",7,7,League,wickets,7.0,192.0,20.0,N
Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kings XI Punjab,GJ Maxwell,Sharjah Cricket Stadium,,"CA Pujara, V Sehwag, GJ Maxwell, DA Miller, GJ Bailey, MG Johnson, AR Patel, WP Saha, L Balaji, R Dhawan, Sandeep Sharma","AJ Finch, S Dhawan, DA Warner, KL Rahul, Y Venugopal Rao, IK Pathan, DJG Sammy, KV Sharma, DW Steyn, A Mishra, B Kumar",7,9,League,runs,72.0,194.0,20.0,N
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,Chennai Super Kings,RA Jadeja,Dubai International Cricket Stadium,,"AM Nayar, AM Rahane, SV Samson, SR Watson, STR Binny, SPD Smith, R Bhatia, JP Faulkner, TG Southee, DS Kulkarni, PV Tambe","DR Smith, BB McCullum, SK Raina, F du Plessis, MS Dhoni, RA Jadeja, M Manhas, R Ashwin, BW Hilfenhaus, IC Pandey, MM Sharma",7,10,League,runs,7.0,141.0,20.0,N
